⌚	наручные часы	время|запястье|наручные|рука|часы
🧞	джинн	джинн|лампа|потереть|сказка
🧟	зомби	апокалипсис|живой|зомби|мертвец|страх|страшилка|ужас|Хэллоуин
🧠	мозг	интеллект|мозг|разум|ум|умная|умный
🧡	оранжевое сердце	любовь|оранжевое|свидание|сердце|чувства|эмоции
🧢	бейсболка	бейсболка|головной убор|кепка|шапка
🧣	шарф	обмотать|повязать|шарф|шея
🧤	перчатки	аксессуар|одежда|перчатки|руки
🧥	пальто	верхняя|куртка|одежда|пальто|пиджак
🧦	носки	ноги|носки|чулки
🧧	красный конверт	деньги|Китай|конверт|красный|подарок|традиция|удача
🧨	динамитная шашка	взрыв|взрывчатка|динамит|динамитная шашка|искра|петарда|фейерверк|хлопушка|шашка
🧩	пазл	головоломка|досуг|игра|кусочек|кусочек пазла|мозаика|пазл|собирать
🧪	пробирка	лаборатория|наука|опыты|пробирка|химик|химия|эксперимент|эксперименты
🧫	чашка Петри	анализы|бактерии|биолог|биология|лаборатория|чашка Петри|эксперимент
🧬	ДНК	биология|генетика|гены|ДНК|жизнь|молекула|эволюция
🧭	компас	компас|магнит|навигация|направление|ориентирование|поход|путешествие|путь|света|стороны|турист
🧮	счеты	вычисления|подсчет|счеты
🧯	огнетушитель	красный|огнетушитель|огонь|пожар|тушение пожара|тушить
🧰	ящик для инструментов	инструменты|комплект инструментов|коробка|красный ящик|мастер|механик|набор инструментов|ремонт|слесарь|ящик для инструментов
🧱	кирпичи	глина|кирпич|кирпичи|кирпичная|кирпичный|кладка|стена
🧲	магнит	магнетический|магнит|магнит-подкова|отрицательный|подкова|положительный|притяжение
🧳	багаж	багаж|путешествие|чемодан
🧴	бутылка лосьона	бальзам|бутылка лосьона|гель для душа|кондиционер|крем|лосьон|увлажнение|флакон|шампунь
🧵	катушка ниток	вышивка|иголка|катушка|катушка ниток|нитки|нить|рукоделие|шить|шитье|штопать
🧶	клубок	вязание|клубок|клубок ниток|нитки|пряжа
🧷	английская булавка	английская булавка|булавка|приколоть|пристегнуть
🧸	плюшевый мишка	игрушка|медвежонок|мишка|мягкая игрушка|плюшевая игрушка|плюшевый мишка
🧹	метла	ведьма|веник|метла|подметать|уборка
🧺	корзина	грибы|корзина|корзина с бельем|пикник|собирать|стирка|ягоды
🧻	рулон бумаги	бумага|бумажное полотенце|бумажные полотенца|рулон|рулон бумаги|салфетка|туалетная бумага
🧼	мыло	ванна|душ|купание|кусок мыла|мало|мыло|мыльная пена|мыть|пена|пузыри
🧽	губка	ванна|впитывать|губка|мочалка|мыло|мыть|мытье посуды|пена|посуда|спонж|чистить
🧾	чек	бухгалтерия|доказательство|квитанция|счет|фактура|чек
🧿	назар бонджук	амулет|око|сглаз|синий|талисман
🩰	пуанты	балерина|балет|обувь|пуанты|танец|туфли
🩱	цельный купальник	закрытый|купальник|одежда|плавать|слитный|спорт|цельный
🩲	плавки	купальник|одежда|плавать|плавки|трусы|шорты
🩳	шорты	белье|купальник|одежда|плавать|плавки|спорт|трусы|шорты
🩴	вьетнамки	вьетнамки|обувь|пляж|сланцы|шлепанцы|шлепки
🩵	голубое сердце	бирюзовое|голубое|люблю|любовь|милый|нравится|сердечко|сердце|чувства
🩶	серое сердце	любовь|сердце|серебряное|серое
🩷	розовое сердце	люблю|любовь|мило|нравится|розовое|сердце
🩸	капля крови	донор|капля|капля крови|красный|кровить|кровоточить|кровь|медицина|менструация
🩹	пластырь	заклеить|лейкопластырь|лечить|медицина|пластырь|порез|рана
🩺	стетоскоп	врач|доктор|инструмент|медицина|сердце|слушать|стетоскоп
🩻	рентген	врач|кости|медицина|предмет|просветить|рентген|скелет|снимок
🩼	костыль	инвалид|инвалидность|костыли|костыль|опора|перелом|повреждение|помощь|предмет|травма|трость
🪀	йо-йо	игрушка|йо-йо|йойо
🪁	воздушный змей	ветер|воздушный змей|змей|игра|летать|парить
🪂	парашют	крыло|параглайд|парасейл|парашют|парашютист|скайдайв
🪃	бумеранг	абориген|австралия|бумеранг|возврат|оружие|последствия
🪄	волшебная палочка	волшебная палочка|волшебник|волшебство|колдунья|магия|фокус
🪅	пиньята	вечеринка|мексиканский|пиньята|праздник|праздновать|сладости
🪆	матрешка	игрушка|кукла|матрешка|матрешки|россия|русская
🪇	маракасы	вечеринка|инструмент|маракасы|музыка|музыкальные инструменты|перкуссия|погремушки|ритм|танец|танцы|трясти|ча-ча-ча
🪈	флейта	группа|деревянный духовой инструмент|дудочка|духовой инструмент|инструмент|музыка|оркестр|продольная флейта|сопилка|труба|флейта|флейта пикколо|флейтист
🪉	арфа	ангелочек|арфа|инструмент|купидон|любовь|музыка|оркестр
🪏	лопата	ковш|копать|лопата|совок|яма
🪐	планета с кольцом	кольца|кольцо|космос|планета|планета с кольцом|сатурн
🪑	стул	мебель|сидение|сидеть|сидя|стул|стулья
🪒	бритва	бритва|бритье|бриться|лезвие|лицо|опасная|острый
🪓	топор	дрова|дровосек|рубить|рубка|топор
🪔	масляная лампа	гореть|дия|лампа|масло|свет
🪕	банджо	банджо|гитара|играть|инструмент|музыка|струнный
🪖	армейская каска	армия|воин|каска|солдат
🪗	аккордеон	аккордеон|баян|гармонь|гармошка|концертина
🪘	конга	барабан|бит|конга|музыкальный инструмент|ритм|тамтам
🪙	монета	деньги|доллар|евро|золото|казна|металл|монета|рубль|серебро
🪚	пила по дереву	древесина|инструмент|пила|пила по дереву|пилить|плотник|резать|столяр
🪛	отвертка	винт|инструмент|мастер|отвертка|умелец
🪜	лестница	залезать|лезть|лестница|перекладина|стремянка|ступень
🪝	крюк	захват|крюк|крючок|подвес|уловка
🪞	зеркало	зеркало|краситься|макияж|отражатель|отражение
🪟	окно	вид|окно|окошко|прозрачный|рама|свежий воздух|стекло
🪠	вантуз	вантуз|засор|прочистка|сантехник|слив|сортир|туалет
🪡	швейная игла	вышивка|игла|иголка|стежки|швы|шитье
🪢	узел	веревка|канат|узел|шнур|шнурок
🪣	ведро	бадья|ведерко|ведро|кадка
🪤	мышеловка	заманить|западня|капкан|ловушка|мышеловка|приманка|сыр
🪥	зубная щетка	ванная|гигиена|зубная щетка|зубы|умываться|чистить|чистый|щетка
🪦	надгробие	гробница|кладбище|могила|могильный камень|надгробие
🪧	плакат	высказаться|демонстрация|заявление|знак|пикет|плакат|протест
🪨	камень	булыжник|жесткий|камень|скала|твердый|тяжелый
🪩	диско-шар	блестеть|вечеринка|диско|диско-шар|дискотека|зеркальный|зеркальный шар|танцы
🪪	удостоверение личности	водительские права|документ|паспорт|права|удостоверение
🪫	низкий уровень заряда	аккумулятор|батарейка|батарея|заряд|мало зарядки|низкий заряд|низкий уровень заряда|предмет|разрядилась|разряжено
🪬	хамса	амулет|защита|защитить|кисть|ладонь|предмет|рука|рука Марии|рука Мириам|рука Фатимы|хамса
🪭	веер	веер|жара|жарко|застенчивый|опахало|охлаждение|танец
🪮	афро-гребень	афро|волосы|гребень|расческа
🪯	кханда	дег|кханда|религия|сикх|сикхизм|символ|тех|фатех|хальса
🪰	муха	вредитель|зараза|личинка|муха|насекомое
🪱	червяк	дождевой червь|животное|земляной червь|круглый червь|паразит|червь|червяк
🪲	жук	букашка|жук|жучок|клоп|насекомое
🪳	таракан	вредитель|мерзкий|насекомое|прусак|таракан
🪴	растение в горшке	горшок|домашнее растение|растение|растение в горшке|растение в доме|цветок в горшке
🪵	древесина	бревно|древесина|дрова|лес|пень|полено
🪶	перо	лёгкий|оперение|перо|перышко|писать|полёт|птица
🪷	лотос	буддизм|индуизм|красота|лотос|медитация|спокойствие|умиротворение|цветок|чистота
🪸	коралл	изменение климата|коралл|море|океан|природа|риф
🪹	пустое гнездо	гнездо|гнездование|домой|природа|птицы|пусто|пустое гнездо
🪺	гнездо с яйцами	гнездо|гнездо с яйцами|гнездование|кладка яиц|природа|птицы|яйца
🪻	гиацинт	лаванда|львиный зев|люпин|цветок
🪼	медуза	беспозвоночное|морское|ожог|ой|ужалить
🪽	крыло	авиация|ангельский|летать|мифология|полет|птица
🪾	дерево без листвы	дерево без листвы|дерево без листьев|засуха|зима
🪿	гусь	глупый|гогот|гоготать|гуси|гусь|дичь|птица|утка
🫀	сердце человека	анатомия|кардиология|красный|орган|пульс|сердце|сердцебиение|человеческое
🫁	легкие	вдох|выдох|дыхание|дышать|легкие|легкое|орган
🫂	обнимающиеся люди	дружба|любовь|обнимашки|обнимающиеся люди|объятия|пока|привет|прощай|спасибо|успокоить
🫃	беременный мужчина	беременность|беременный|вздутие|животик|мужчина|переедание
🫄	беременный человек	беременная|беременность|беременный|вздутие|животик|переедание|человек
🫅	человек с короной	владыка|власть|князь|король|монарх|правитель|престол|царь
🫆	отпечаток пальца	безопасность|биометрия|идентификация|криминалистика|отпечаток пальца
🫎	лось	животное|лось|млекопитающее|рога|рогатый|сохатый
🫏	осел	животное|ишак|млекопитающее|мул|ослик|упрямый
🫐	голубика	голубика|голубой|черника|ягода
🫑	болгарский перец	болгарский перец|еда|овощ|перец|растение|сладкий
🫒	оливка	еда|маслина|олива|оливка
🫓	лепешка	еда|лаваш|лепешка|наан|пита|тортилья|хлеб
🫔	тамале	еда|завернутый|мексиканский|памонья|тамал|тамале
🫕	фондю	еда|какелон|плавленый|сыр|фондю|швейцарский|шоколад
🫖	чайник	заварка|заварочный чайник|напиток|чай|чайник
🫗	стакан с жидкостью	вода|выливать|вылить|наливать|напиток|оплошность|опустошить|пролить|пустой|случайность|стакан|стакан с жидкостью
🫘	фасоль	бобовые|бобы|еда|кидни|фасоль
🫙	банка	банка|варенье|мариновать|пустая|соленья|хранить
🫚	корень имбиря	имбирь|корень|специя
🫛	стручок гороха	бобовые|бобы|горох|овощ|стручок|эдамамэ
🫜	корнеплод	корень|овощ|огород|репа|свекла
🫟	клякса	клякса|краска|пролить|пятно|Холи
🫠	тает	грустная|жара|жарко|лол|нежность|печальная|плавится|растаять|таю|улыбка
🫡	воинское приветствие	да|есть|окей|отдать|приветствие|приказ|сделаю|точно|хорошо|честь
🫢	прикрывает рот рукой с открытыми глазами	изумление|испуг|недоверие|смущение|страх|удивление|шок
🫣	подсматривает	глаз|интересно|испуг|подсматривает|рука|румянец|стесняюсь|страх|тайно|украдкой
🫤	с перекошенным ртом	досадно|думаю|знаю|не|непонятно|огорчен|разочарован|скептик|уверен
🫥	лицо пунктиром	грусть|депрессия|интроверт|исчезать|невидимка|печаль|пунктир|угнетение|усталость
🫦	кусать губы	беспокоиться|беспокойство|волнение|губы|кусать|переживания|помада|укус|флирт
🫧	пузыри	вода|мыло|мыльные пузыри|мыть|предмет|пузыри|пузырь|чистый
🫨	трясущееся лицо	бум|вау|головокружение|обморок|омг|паника|трясется|удивление|ужас|шок
🫩	лицо с мешками под глазами	без|глазами|истощение|мешки|под|сил|скучно|сон|спать|устал
🫰	жест «деньги»	деньги|дорого|жест|сердечко|щелчок
🫱	рука вправо	вправо|кисть|направо|рука|рукопожатие
🫲	рука влево	влево|кисть|налево|рука|рукопожатие
🫳	рука ладонью вниз	бросить|ладонь вниз|отпустить|рука
🫴	рука ладонью вверх	вверх|жест|ладонь|манить|подзывать|поднимать|подойди|позвать|предложить|рука|скажи
🫵	указательный палец на себя	жест|палец|показать|рука|ты|указательный|указывать
🫶	жест «сердце»	жест|любовь|руки|сердце
🫷	рука ладонью влево	влево|ждать|нет|отказ|подождать|подожди|пять|стоп|толкать
🫸	рука ладонью вправо	вправо|ждать|нет|отказ|подождать|подожди|пять|стоп|толкать
